iteration,point_id,point_label,x0,x1,cluster,centroid_label,c0,c1,shots,overlap_sq,distance_q,count_0,count_1
,,A,,,0,,,,,0.8799999999999999,0.1200000000000001,,
,,A,,,1,,,,,0.8799999999999999,0.1200000000000001,,
,,B,,,0,,,,,0.942,0.05800000000000005,,
,,B,,,1,,,,,0.942,0.05800000000000005,,
,,C,,,0,,,,,0.29600000000000004,0.704,,
,,C,,,1,,,,,0.29600000000000004,0.704,,
,,D,,,0,,,,,0.4079999999999999,0.5920000000000001,,
,,D,,,1,,,,,0.4079999999999999,0.5920000000000001,,
,,E,,,0,,,,,1.0,0.0,,
,,E,,,1,,,,,1.0,0.0,,
,,F,,,0,,,,,0.6479999999999999,0.3520000000000001,,
,,F,,,1,,,,,0.6479999999999999,0.3520000000000001,,
,,A,,,0,,,,,0.55,0.44999999999999996,,
,,A,,,1,,,,,0.8799999999999999,0.1200000000000001,,
,,B,,,0,,,,,0.6499999999999999,0.3500000000000001,,
,,B,,,1,,,,,0.942,0.05800000000000005,,
,,C,,,0,,,,,0.5940000000000001,0.4059999999999999,,
,,C,,,1,,,,,0.29600000000000004,0.704,,
,,D,,,0,,,,,0.74,0.26,,
,,D,,,1,,,,,0.4079999999999999,0.5920000000000001,,
,,E,,,0,,,,,0.8819999999999999,0.1180000000000001,,
,,E,,,1,,,,,1.0,0.0,,
,,F,,,0,,,,,0.9099999999999999,0.09000000000000008,,
,,F,,,1,,,,,0.6479999999999999,0.3520000000000001,,
,,A,,,0,,,,,0.12200000000000011,0.8779999999999999,,
,,A,,,1,,,,,0.98,0.020000000000000018,,
,,B,,,0,,,,,0.19599999999999995,0.804,,
,,B,,,1,,,,,0.996,0.0040000000000000036,,
,,C,,,0,,,,,0.98,0.020000000000000018,,
,,C,,,1,,,,,0.1299999999999999,0.8700000000000001,,
,,D,,,0,,,,,0.998,0.0020000000000000018,,
,,D,,,1,,,,,0.19799999999999995,0.802,,
,,E,,,0,,,,,0.44999999999999996,0.55,,
,,E,,,1,,,,,0.972,0.028000000000000025,,
,,F,,,0,,,,,0.966,0.03400000000000003,,
,,F,,,1,,,,,0.3959999999999999,0.6040000000000001,,
,,A,,,0,,,,,0.12200000000000011,0.8779999999999999,,
,,A,,,1,,,,,0.98,0.020000000000000018,,
,,B,,,0,,,,,0.19599999999999995,0.804,,
,,B,,,1,,,,,0.996,0.0040000000000000036,,
,,C,,,0,,,,,0.98,0.020000000000000018,,
,,C,,,1,,,,,0.1299999999999999,0.8700000000000001,,
,,D,,,0,,,,,0.998,0.0020000000000000018,,
,,D,,,1,,,,,0.19799999999999995,0.802,,
,,E,,,0,,,,,0.44999999999999996,0.55,,
,,E,,,1,,,,,0.972,0.028000000000000025,,
,,F,,,0,,,,,0.966,0.03400000000000003,,
,,F,,,1,,,,,0.3959999999999999,0.6040000000000001,,
,,A,,,0,,,,,0.12200000000000011,0.8779999999999999,,
,,A,,,1,,,,,0.98,0.020000000000000018,,
,,B,,,0,,,,,0.19599999999999995,0.804,,
,,B,,,1,,,,,0.996,0.0040000000000000036,,
,,C,,,0,,,,,0.98,0.020000000000000018,,
,,C,,,1,,,,,0.1299999999999999,0.8700000000000001,,
,,D,,,0,,,,,0.998,0.0020000000000000018,,
,,D,,,1,,,,,0.19799999999999995,0.802,,
,,E,,,0,,,,,0.44999999999999996,0.55,,
,,E,,,1,,,,,0.972,0.028000000000000025,,
,,F,,,0,,,,,0.966,0.03400000000000003,,
,,F,,,1,,,,,0.3959999999999999,0.6040000000000001,,
